id;name;age;adress;email;phone number;registration date;created at;updated at;deleted at
8ff85b9c-d3d6-467e-85f6-a166d96dcff5;Большакова Иванна Васильевна;52;г. Колпашево, пр. Азина, д. 90 стр. 93, 735884;agafonovadrian@example.com;+7 (175) 297-89-11;2024-04-10 09:34:09.227 +0300;2024-08-29 04:58:22.608 +0300;2025-03-14 16:12:12.881 +0300;
68a2c6c4-39af-481b-a0e5-f92f94106f13;г-н Капустин Сигизмунд Феодосьевич;74;с. Брянск, пер. Леонова, д. 98, 741226;danilovavarvara@example.org;86738959948;2025-03-11 12:20:26.050 +0300;2024-08-10 20:36:34.564 +0300;2025-03-14 16:13:15.592 +0300;
62a571ed-247b-4e3a-9cb8-e4af0e90ac7b;Оксана Ивановна Наумова;77;ст. Кяхта, алл. Морозова, д. 612 стр. 540, 306576;spartak14@example.com;8 (426) 552-9714;2024-12-02 13:22:10.230 +0300;2025-02-26 19:32:35.070 +0300;2025-03-14 16:14:17.289 +0300;
db0cc344-ae11-4347-8af8-a44c085986a8;Семенов Галактион Андреевич;34;д. Тольятти, бул. Таманский, д. 2 стр. 98, 265254;taraszhdanov@example.org;+7 (596) 381-4535;2024-08-26 01:57:11.938 +0300;2024-12-08 02:33:27.432 +0300;2025-03-14 16:14:21.066 +0300;
438899d9-7b9d-4e2f-a90a-0c65d3d493d6;Уварова Алевтина Ниловна;72;п. Самара, пер. Беляева, д. 8/5 стр. 520, 601973;fade_1991@example.com;+7 301 854 33 02;2024-11-06 19:04:41.467 +0300;2024-07-28 22:16:06.659 +0300;2025-03-14 16:15:12.405 +0300;
ccc1e5b3-a8a9-4ce2-97c1-aab1af79e679;Тамара Николаевна Пестова;71;ст. Кежма, бул. Папанина, д. 7/8 к. 403, 784203;kolesnikovemil@example.org;+7 905 532 67 60;2024-11-19 23:39:35.088 +0300;2025-02-15 19:11:42.479 +0300;2025-03-14 16:16:10.839 +0300;
ef3edf8b-02fc-4e09-9ed3-760eac3d13b4;Федорова Евгения Станиславовна;30;клх Петухово, ул. Высоковольтная, д. 61, 125604;kulakovaagafja@example.org;8 (806) 035-7982;2025-02-16 14:55:04.230 +0300;2024-06-16 10:09:28.768 +0300;2025-03-14 16:17:12.161 +0300;
bf077100-ec97-4b06-9313-33f20fb04d0c;Олимпиада Архиповна Гусева;43;к. Приозерск, ул. Бригадная, д. 26, 563815;ermil1985@example.net;8 (077) 313-87-41;2024-05-09 23:24:14.189 +0300;2025-03-10 13:51:44.369 +0300;2025-03-14 16:18:13.708 +0300;
ce5c0b44-911d-4070-a5bb-bd14c3f2c952;Кузьмина Евпраксия Болеславовна;51;клх Горно-Алтайск, ш. Радищева, д. 459, 867574;rmuravev@example.com;89 828 522 943;2024-10-24 20:14:41.023 +0300;2025-01-20 06:17:22.927 +0300;2025-03-14 16:19:12.959 +0300;
da21c8fd-4f1d-421d-99e6-2c1d94174668;Коновалова Прасковья Семеновна;63;к. Нефтекамск, пер. Карла Либкнехта, д. 45 к. 96, 964336;afanasi_44@example.com;86409503630;2024-12-30 12:12:48.672 +0300;2024-07-28 09:19:59.107 +0300;2025-03-14 16:20:10.913 +0300;
7afeac52-6d41-4735-84ad-df825afac056;Иван Тихонович Артемьев;31;с. Нефтегорск (Самар.), наб. Угловая, д. 1/2, 794126;boleslav1985@example.net;78 954 457 988;2024-08-25 13:58:57.245 +0300;2025-02-13 12:56:00.884 +0300;2025-03-14 16:21:13.683 +0300;
a63bc556-66c4-447c-a44c-6b68580d7908;Нонна Олеговна Быкова;44;к. Надым, наб. Гаражная, д. 74 к. 2, 823743;nadezhda_2001@example.com;+7 776 404 61 33;2024-04-28 05:20:00.005 +0300;2024-12-04 21:21:22.009 +0300;2025-03-14 16:22:11.939 +0300;
f3461e6e-0402-4316-873f-a4298ecd7edf;Прасковья Захаровна Кондратьева;72;п. Усть-Джегута, наб. Красных Партизан, д. 936 к. 3, 632665;uvarovanaina@example.net;+7 465 870 85 78;2024-04-15 07:26:35.322 +0300;2024-08-11 10:28:37.196 +0300;2025-03-14 16:23:10.902 +0300;
5c424749-9667-4029-86f9-28af8bbc9546;Макарова Нина Харитоновна;94;ст. Калач, ш. Киевское, д. 412, 567772;irakli_1996@example.org;+7 (515) 163-32-65;2024-06-01 18:40:57.603 +0300;2024-09-22 16:11:05.698 +0300;2025-03-14 16:24:12.533 +0300;
c4d068d5-2edd-4b02-a928-f19241d73e46;Алевтина Васильевна Стрелкова;58;клх Видное, ул. Волгоградская, д. 267 стр. 6, 525560;ezhuravlev@example.org;75 100 988 479;2025-02-22 22:48:40.617 +0300;2024-07-01 16:44:44.019 +0300;2025-03-14 16:25:11.419 +0300;
0ca3ec5b-9e28-48ad-967e-9f9841e6de0d;Фролова Галина Кирилловна;53;к. Киржач, пер. Мирный, д. 206, 379791;radovan1993@example.org;8 (641) 989-7429;2025-02-04 12:32:48.556 +0300;2024-08-23 03:15:27.417 +0300;2025-03-14 16:26:11.051 +0300;
1fcf8c51-c1b8-4379-81e5-7d111223d6cb;Гущина Полина Кузьминична;88;г. Чермоз, пр. Клары Цеткин, д. 1 к. 1, 295475;kapustinvlas@example.org;+7 (686) 944-3966;2024-12-10 01:34:30.701 +0300;2024-10-12 09:34:27.884 +0300;2025-03-14 16:27:10.182 +0300;
4a439054-d791-4dc4-b7df-f74862baa8d7;Кудряшов Амвросий Игнатович;24;д. Воскресенск, бул. 30 лет Победы, д. 77 стр. 1/6, 391280;alla1987@example.org;75481516600;2024-04-23 07:44:59.520 +0300;2025-01-19 13:48:43.978 +0300;2025-03-14 16:28:09.065 +0300;
111b9211-1415-40d2-bff1-abbc7af418dc;Фёкла Николаевна Макарова;75;клх Кулу, пер. Марта 8, д. 2/4 к. 1/9, 767530;tamara_2005@example.net;72868424544;2024-08-29 04:12:48.509 +0300;2025-02-03 15:00:12.746 +0300;2025-03-14 16:29:10.517 +0300;
9843c934-607d-4725-ba0b-8b5b1264d4bd;Горшков Игорь Ерофеевич;28;с. Наро-Фоминск, пр. Коммунаров, д. 7 к. 296, 393154;vorobevaolimpiada@example.net;+7 (932) 506-0604;2024-10-31 22:36:15.872 +0300;2024-05-10 04:22:32.651 +0300;2025-03-14 16:30:11.581 +0300;
570acf96-f95f-4238-a5bd-80760dd8af0d;Лыткина Елизавета Вениаминовна;32;д. Кулу, наб. Речная, д. 1/3 стр. 8/7, 621672;evstigne_1982@example.net;+7 (541) 208-84-67;2024-04-16 23:52:28.708 +0300;2024-08-05 17:56:15.596 +0300;2025-03-14 16:31:10.018 +0300;
2d7dcb1d-191d-46e2-9e20-0bec24619f47;Ефим Феодосьевич Субботин;84;п. Белгород, бул. Крылова, д. 94, 134365;marfa54@example.org;+7 (943) 538-29-71;2024-09-29 20:37:20.230 +0300;2025-01-04 13:57:50.101 +0300;2025-03-14 16:32:13.141 +0300;
71c26d40-c5a1-40ca-a58c-4111ec87ebe3;Аполлинарий Фадеевич Емельянов;73;с. Холмогоры, ул. Морская, д. 2/5, 152874;karl2020@example.net;74388506606;2024-08-14 17:06:20.120 +0300;2024-09-15 11:40:21.243 +0300;2025-03-14 16:33:11.331 +0300;
5e8933a5-fb72-413b-ad46-c7ca7eeae9b0;Гущина Наталья Кирилловна;72;к. Петушки, пр. Студенческий, д. 27 к. 1, 533674;vorobevharlampi@example.net;89 382 985 245;2024-12-20 11:11:33.905 +0300;2024-10-05 17:05:42.779 +0300;2025-03-14 16:34:12.029 +0300;
d07e5b54-df1d-4e70-8a09-50f38723c807;Голубева Алина Викторовна;56;д. Дагомыс, наб. Родниковая, д. 3/2 к. 661, 230332;ninel1994@example.com;8 (148) 297-8361;2024-11-06 22:45:46.010 +0300;2024-05-27 19:36:48.677 +0300;2025-03-14 16:35:10.104 +0300;
44f2b3b9-e2e9-49f5-873f-688dbc4d2ffc;Исаева Анжела Харитоновна;80;с. Серов, пр. Революционный, д. 30, 089569;fedorovvsemil@example.com;+7 (128) 635-59-61;2025-01-12 21:46:21.679 +0300;2024-12-04 20:22:07.523 +0300;2025-03-14 16:36:11.365 +0300;
445e7bed-8f5b-4bfd-b7a5-852588490f8d;Рябов Виктор Артёмович;33;к. Ногинск (Моск.), пр. Весенний, д. 141 к. 513, 290313;proklmaslov@example.org;8 750 084 19 98;2024-05-17 11:33:24.294 +0300;2024-03-17 06:50:53.307 +0300;2025-03-14 16:37:10.786 +0300;
220649ac-bcd1-4b46-8b89-2e42a1667faa;Людмила Алексеевна Федотова;22;ст. Орел, пер. Грибоедова, д. 121, 635600;avtonomsubbotin@example.org;8 (965) 864-5924;2024-07-16 13:39:55.959 +0300;2024-12-06 17:35:27.753 +0300;2025-03-14 16:38:10.698 +0300;
897b0a26-b883-4ee1-be6a-691d5ec6182e;Соловьева Зоя Александровна;83;д. Кунгур, наб. Дорожников, д. 9 к. 6, 960937;hohlovsofron@example.com;82 167 796 707;2024-10-18 13:17:36.949 +0300;2024-12-06 04:44:32.986 +0300;2025-03-14 16:39:12.270 +0300;
0174e212-e300-4bf3-9c65-455661b7655f;Николаева Наталья Даниловна;38;к. Переславль-Залесский, алл. Рылеева, д. 963, 642346;tilin@example.net;73881092409;2024-09-19 01:21:21.774 +0300;2024-06-27 11:24:50.060 +0300;2025-03-14 16:40:12.035 +0300;

